"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2093,"ENSO_2yr","york",3602247.70916616,18826982.8836759
2094,"ENSO_2yr","york",3597146.83215372,18809977.5095164
2095,"ENSO_2yr","york",3592045.95514129,18792972.1353569
2096,"ENSO_2yr","york",3586945.07812885,18775966.7611974
2097,"ENSO_2yr","york",3581844.20111642,18758961.387038
2098,"ENSO_2yr","york",3576743.32410398,18741956.0128785
2099,"ENSO_2yr","york",3571642.44709155,18724950.638719
2100,"ENSO_2yr","york",3566541.57007911,18707945.2645595
2020,"ENSO_3yr","york",3974611.73107389,20068375.1973183
2021,"ENSO_3yr","york",3969510.85406146,20051369.8231588
2022,"ENSO_3yr","york",3964409.97704902,20034364.4489993
2023,"ENSO_3yr","york",3959309.10003659,20017359.0748398
2024,"ENSO_3yr","york",3954208.22302416,20000353.7006803
2025,"ENSO_3yr","york",3949107.34601172,19983348.3265209
2026,"ENSO_3yr","york",3944006.46899929,19966342.9523614
2027,"ENSO_3yr","york",3938905.59198685,19949337.5782019
2028,"ENSO_3yr","york",3933804.71497441,19932332.2040424
2029,"ENSO_3yr","york",3928703.83796198,19915326.8298829
2030,"ENSO_3yr","york",3923602.96094954,19898321.4557234
2031,"ENSO_3yr","york",3918502.08393711,19881316.0815639
2032,"ENSO_3yr","york",3913401.20692467,19864310.7074045
2033,"ENSO_3yr","york",3908300.32991224,19847305.333245
2034,"ENSO_3yr","york",3903199.45289981,19830299.9590855
2035,"ENSO_3yr","york",3898098.57588737,19813294.584926
2036,"ENSO_3yr","york",3892997.69887494,19796289.2107665
2037,"ENSO_3yr","york",3887896.8218625,19779283.836607
2038,"ENSO_3yr","york",3882795.94485007,19762278.4624476
2039,"ENSO_3yr","york",3877695.06783763,19745273.0882881
2040,"ENSO_3yr","york",3872594.1908252,19728267.7141286
2041,"ENSO_3yr","york",3867493.31381276,19711262.3399691
2042,"ENSO_3yr","york",3862392.43680033,19694256.9658096
2043,"ENSO_3yr","york",3857291.55978789,19677251.5916501
2044,"ENSO_3yr","york",3852190.68277546,19660246.2174906
2045,"ENSO_3yr","york",3847089.80576302,19643240.8433312
2046,"ENSO_3yr","york",3841988.92875059,19626235.4691717
2047,"ENSO_3yr","york",3836888.05173816,19609230.0950122
2048,"ENSO_3yr","york",3831787.17472572,19592224.7208527
2049,"ENSO_3yr","york",3826686.29771328,19575219.3466932
2050,"ENSO_3yr","york",3821585.42070085,19558213.9725337
2051,"ENSO_3yr","york",3816484.54368842,19541208.5983743
2052,"ENSO_3yr","york",3811383.66667598,19524203.2242148
2053,"ENSO_3yr","york",3806282.78966355,19507197.8500553
2054,"ENSO_3yr","york",3801181.91265111,19490192.4758958
2055,"ENSO_3yr","york",3796081.03563868,19473187.1017363
2056,"ENSO_3yr","york",3790980.15862624,19456181.7275768
2057,"ENSO_3yr","york",3785879.28161381,19439176.3534173
2058,"ENSO_3yr","york",3780778.40460137,19422170.9792579
2059,"ENSO_3yr","york",3775677.52758894,19405165.6050984
2060,"ENSO_3yr","york",3770576.65057651,19388160.2309389
2061,"ENSO_3yr","york",3765475.77356407,19371154.8567794
2062,"ENSO_3yr","york",3760374.89655163,19354149.4826199
2063,"ENSO_3yr","york",3755274.0195392,19337144.1084604
2064,"ENSO_3yr","york",3750173.14252677,19320138.734301
